country,state,county,name,lat,lng
AE,Dubai,Al Ain,Al Bada'a,25.22462,55.26888
AE,Dubai,Al Ain,Al Muteena,25.27375,55.32265
AE,Dubai,Al Ain,Al Mizhar First,25.24805,55.44128
AE,Dubai,Al Ain,Al Mizhar Second,25.24332,55.4619
AE,Dubai,Al Ain,Dubai Silicon Oasis,25.11985,55.38718
AE,Dubai,Al Ain,Dubai Motor City,25.04593,55.24102
AE,Dubai,Al Ain,DAMAC Hills,25.02924,55.25277
AE,Dubai,Al Ain,Al Furjan,25.02651,55.14565
AE,Dubai,Al Ain,Business Bay,25.18544,55.26969
AE,Dubai,Al Ain,Al Qusais 1,25.27925,55.36995
AE,Dubai,Al Ain,Al Twar 3,25.25159,55.39408
AE,Dubai,Al Ain,Al Khabaisi,25.26628,55.33379
AE,Dubai,Al Ain,Al Khawaneej 1,25.24882,55.48545
AE,Sharjah Emirate,Al Ain,Halwan,25.34586,55.42165
AE,Sharjah Emirate,Al Ain,Al Sajaah,25.31532,55.63211
AE,Dubai,Al Ain,Lahbab,25.03763,55.59135
AE,Sharjah Emirate,Al Ain,Al Madam,24.97355,55.77781
AE,Umm al-Quwain,,Al Raafah,25.55073,55.68619
AE,Abu Dhabi Emirate,Abu Dhabi,Mohammed Bin Zayed City,24.34794,54.55368
AE,Abu Dhabi Emirate,Abu Dhabi,Masdar City,24.43208,54.61582
AF,Khost Province,Musakhel,Zōr Kōṯ,33.54149,69.73446
AF,Maidan Wardak,Markazi Bihsud,Wulêswālī Bihsūd,34.3436,67.90567
AF,Herat Province,Kohsan,Kuhsān,34.65389,61.19778
AF,Faryab,Kohistan,Lāsh,35.3782,64.77457
AF,Sar-e Pol Province,Sancharak,Tukzār,35.94831,66.42132
AF,Nangarhar Province,Bati Kot,Bati,34.24348,70.72855
AF,Ghazni Province,Andar,Mīray,33.32462,68.44068
AF,Balkh Province,Kishindih,Āq Kupruk,36.08352,66.84029
AF,Paktia Province,,Zurmat,33.43778,69.02774
AF,Badakhshan Province,Zebak,Zaybāk,36.52947,71.3441
AF,Kandahar Province,Khakrez,Zīārat-e Shāh Maqşūd,31.9848,65.4736
AF,Herat Province,Zendeh Jan,Zindah Jān,34.34264,61.74675
AF,Paktika Province,Zarghun Shar,Zarghūn Shahr,32.84734,68.44573
AF,Paktika Province,Sharana,Zaṟah Sharan,33.14641,68.79213
AF,Nimruz Province,Zaranj,Zaranj,30.95962,61.86037
AF,Kandahar Province,Miyanishin,Zamtō Kêlay,32.3726,66.17708
AF,Takhar Province,Yangi Qala District,Yangī Qal‘ah,37.46572,69.61131
AF,Bamyan,Yakawlang,Bāzār-e Yakāwlang,34.73525,66.97379
AF,Paktika Province,Yahyakhel,Yaḩyá Khēl,32.93742,68.64622
AF,Helmand,Washir,Wāshēr,32.25122,63.85553
AF,Ghazni Province,Khwaja Umari,Tōrmay,33.68847,68.40205
AF,Ghor,Tulak,Tūlak,33.97509,63.72868
AF,Ghor,Saghar,Tītān,33.69032,63.86361
AF,Herat Province,Kohsan,Tīr Pul,34.59431,61.26895
AF,Ghor,,Taywarah,33.52118,64.42116
AF,Badakhshan Province,Tishkan,Bāzār-e Tashkān,36.88168,70.27674
AF,Urōzgān,Tarinkot,Tarinkot,32.62998,65.87806
AF,Takhar Province,Taluqan District,Taloqan,36.73605,69.53451
AF,Sar-e Pol Province,Kohistanat,Tagāw-Bāy,35.69941,66.06164
AF,Kapisa Province,Tagab,Tagāb,34.85501,69.64917
AF,Farah Province,Bakwa,Markaz-e Ḩukūmat-e Sulţān-e Bakwāh,32.24139,62.94936
AF,Kandahar Province,Spin Boldak,Spīn Bōldak,31.00575,66.40001
AF,Khost Province,Spera,Spērah,33.20204,69.5152
AF,Sar-e Pol Province,Sozma Qala,Sōzmah Qal‘ah,36.09916,66.20823
AF,Parwan Province,Ghorband,Siyāhgird,35.00553,68.85578
AF,Nangarhar Province,Kuz Kunar,S̲h̲ēwah,34.57169,70.58859
AF,Herat Province,Shindand,Shīnḏanḏ,33.30294,62.1474
AF,Khost Province,Gurbuz,Shaykh Amīr Kêlay,33.28744,69.91283
AF,Parwan Province,Shinwari,Qāshqāl,35.03975,69.00685
AF,Jowzjan Province,Shibirghan,Shibirghān,36.66757,65.7529
AF,Paktia Province,Shwak,Shwāk,33.42386,69.37684
AF,Zabul Province,Tarnak Aw Jaldak,Shahr-e Şafā,31.80347,66.32376
AF,Badakhshan Province,Khash,Shahrān,36.97984,70.73928
AF,Ghor,Shahrak,Shahrak,34.10737,64.3052
AF,Zabul Province,Shahjoy,‘Alāqahdārī Shāh Jōy,32.52154,67.41315
AF,Paktia Province,Ahmadabad,Wulêswālī Sayyid Karam,33.69056,69.36881
AF,Maidan Wardak,Saydabad,Markaz-e Sayyidābād,34.00037,68.71346
AF,Jowzjan Province,Shibirghan,Şayād,36.13529,65.8297
AF,Kapisa Province,Mahmud Raqi,Sidqābād,35.02298,69.35112
AF,Zabul Province,Argahandab,Sāyagaz,32.56521,67.03324
AF,Daykundi,,Sar-e Tayghān,33.50998,65.67632
AF,Kabul Province,Surobi,Sarōbī,34.58962,69.76005
AF,Kunar Province,Sirkanay,Sar Kāṉī,34.79023,71.10962
AF,Ghazni Province,Ab Band,Sarfirāz Kalā,32.98333,67.96517
AF,Sar-e Pol Province,Sar-e Pol,Sar-e Pul,36.21544,65.93249
AF,Faryab,Gurziwan,Sar Chakān,35.70177,65.23055
AF,Helmand,Sangin,Sangīn,32.07275,64.8359
AF,Ghazni Province,Jaghori,Sang-e Māshah,33.1396,67.44046
