country,name,lat,lng
AF,Tagāw-Bāy,35.69941,66.06164
AF,Tagāb,34.85501,69.64917
AF,Markaz-e Ḩukūmat-e Sulţān-e Bakwāh,32.24139,62.94936
AF,Spīn Bōldak,31.00575,66.40001
AF,Spērah,33.20204,69.5152
AF,Sōzmah Qal‘ah,36.09916,66.20823
AF,Siyāhgird,35.00553,68.85578
AF,S̲h̲ēwah,34.57169,70.58859
AF,Shīnḏanḏ,33.30294,62.1474
AF,Shaykh Amīr Kêlay,33.28744,69.91283
AF,Qāshqāl,35.03975,69.00685
AF,Shibirghān,36.66757,65.7529
AF,Shwāk,33.42386,69.37684
AF,Shahr-e Şafā,31.80347,66.32376
AF,Shahrān,36.97984,70.73928
AF,Shahrak,34.10737,64.3052
AF,‘Alāqahdārī Shāh Jōy,32.52154,67.41315
AF,Wulêswālī Sayyid Karam,33.69056,69.36881
AF,Markaz-e Sayyidābād,34.00037,68.71346
AF,Şayād,36.13529,65.8297
AF,Sidqābād,35.02298,69.35112
AF,Sāyagaz,32.56521,67.03324
AF,Sar-e Tayghān,33.50998,65.67632
AF,Sarōbī,34.58962,69.76005
AF,Sar Kāṉī,34.79023,71.10962
AF,Sarfirāz Kalā,32.98333,67.96517
AF,Sar-e Pul,36.21544,65.93249
AF,Sar Chakān,35.70177,65.23055
AF,Sangīn,32.07275,64.8359
AF,Sang-e Māshah,33.1396,67.44046
AF,Sang-e Chārak,35.84972,66.43694
AF,Sang Atesh,35.248,63.0044
AF,Sangar Sarāy,34.40744,70.63937
AF,Aībak,36.26468,68.01551
AF,Rū-ye Sang,35.31999,67.63387
AF,Rūdbār,30.15,62.6
AF,Rustāq,37.12604,69.83045
AF,Rabāţ-e Sangī-ye Pā’īn,34.79951,62.13917
AF,Rāmak,33.52234,68.6264
AF,Qurghān,36.91939,65.0649
AF,Quchanghī,34.06183,66.27801
AF,Qaīşār,35.68747,64.29318
AF,Qarqīn,37.41853,66.04358
AF,Qarghah’ī,34.55402,70.24292
AF,Qarchī Gak,37.03999,66.78891
AF,Qarāwul,37.21959,68.7802
AF,Qarah Bāgh,34.94023,61.77589
AF,Qarah Bāgh,33.19801,68.10798
AF,Qala i Naw,34.98735,63.12891
AF,Qal‘ah-ye Kūf,38.04119,70.47298
AF,Qal‘ah-ye Kuhnah,32.61591,63.66681
AF,Qal‘ah-ye Shahr,35.54729,65.5676
AF,Qalāt,32.10575,66.90833
AF,Qal‘ah-ye Shāhī,34.64921,70.5914
AF,Qādis,34.8085,63.43003
AF,Pārūn,35.42064,70.92261
AF,Pul-e Khumrī,35.94458,68.71512
AF,Pul-e ‘Alam,33.99529,69.02274
AF,Pasnay,35.76664,65.76486
AF,Pāshmūl,31.5572,65.4343
AF,Pasāband,33.68956,64.8531
AF,Panjāb,34.38795,67.02327
AF,Paghmān,34.58787,68.95091
AF,Ōmnah,32.90029,68.79627
AF,Ōbêh,34.36972,63.17639
AF,Uruzgān,32.92775,66.63253
AF,Urgun,32.9515,69.1828
AF,Nūsay,38.4435,70.80413
AF,Nūrgal,34.61341,70.76498
AF,Now Zād,32.40315,64.46959
AF,Nīlī,33.72178,66.13023
AF,Nayak,34.73414,66.95292
AF,Nāyak,32.5723,66.77403
AF,Now Dahānak,35.62398,70.00511
AF,Ōkak,33.89793,67.95652
AF,Nāṟay,35.21995,71.52284
AF,Narang,34.76009,71.04738
AF,Nīkêh,33.18934,69.27179
AF,Nahrīn,36.0649,69.13343
AF,Ḩukūmat-e Nād ‘Alī,31.64286,64.23982
AF,Mūsá Qal‘ah,32.44565,64.74486
AF,Bala Murghab,35.58408,63.32886
AF,Muqêr,32.82009,67.76934
AF,Muḩammad Āghah Wuluswālī,34.21422,69.10026
AF,Mīzān ‘Alāqahdārī,32.17635,66.51271
AF,Mīr Bachah Kōṯ,34.74999,69.11899
AF,Mīrān,34.22037,68.31259
AF,Mīrābād,30.43624,61.8383
AF,Maymana,35.92139,64.78361
AF,Maīdān Khūlah,33.64916,69.7812
AF,Mingajik,37.0279,66.12817
AF,Mehtar Lām,34.67139,70.20944
AF,Mazār-e Sharīf,36.70904,67.11087
AF,Māymay,38.40856,71.03839
AF,Mutā Khān,33.24001,68.8663
AF,Mashhad,36.81665,70.10211
AF,Mardīān,36.99252,66.29654
AF,Mandōl,35.28403,70.17017
AF,Māmā Khēl,34.24494,69.9968
AF,Lashkar Gāh,31.59382,64.37161
AF,Lāsh-e Juwayn,31.71382,61.62272
AF,Larkird,35.48936,66.66409
AF,La‘l,34.50141,66.27997
AF,Kushk,33.29565,61.95221
AF,Rāẕay Balochi,31.46404,62.69955
AF,Kōṯowāl,34.10319,70.46073
AF,Kushk-e Kuhnah,34.8711,62.54762
AF,Kuran wa Munjan,36.02866,70.77258
AF,Kunduz,36.72895,68.857
AF,Khōshī,33.99916,69.21582
AF,Khōshāmand,32.68567,68.23801
AF,Khwājah Ghār,37.06588,69.42126
AF,Khwājah Dū Kōh,36.82881,65.62432
AF,Deh Khwāhān,37.88965,70.21875
AF,Khulbisāt,33.4948,70.00605
AF,Khūgyāṉī,31.56267,66.5814
AF,Khōst,33.33951,69.92041
AF,Khulm,36.69736,67.69826
AF,Khudāydād Khēl,35.17835,67.68758
AF,Khinjān,35.58908,68.90093
AF,Khinj,35.42898,69.73482
AF,Khāsh,31.52919,62.79055
AF,Khān Neshīn,30.5488,63.7888
AF,Khānaqāh,36.62587,69.53695
AF,Chahār Bāgh,37.00108,65.22392
AF,Khandūd,36.95127,72.318
AF,Khānaqāh,36.86279,66.16656
AF,Khanabad,36.68304,69.11279
AF,Khamyāb,37.5275,65.75833
AF,Khākirān,32.8385,67.07377
AF,Kaz̲h̲ah,34.24088,70.18274
AF,Kishk-e Nakhūd,31.62519,65.05511
AF,Karukh,34.48108,62.5863
AF,Kanḏay,34.9536,70.77897
AF,Kandahār,31.61332,65.71013
AF,Kalān Deh,33.83676,68.40233
AF,Kalakān,34.78371,69.15001
AF,Kalafgān,36.77226,69.94489
AF,Kajrān,33.20357,65.47311
AF,Kā’ī,34.12819,70.71828
AF,Kabul,34.52813,69.17233
AF,Jurm,36.86477,70.83421
AF,Jawand,35.06361,64.14917
AF,Jānī Khēl,32.76315,68.39722
AF,Jalrēz,34.4708,68.65438
AF,Jalālābād,34.42647,70.45153
AF,Jabal os Saraj,35.11833,69.23778
AF,Ḩukūmat-e Shīnkaī,31.98303,67.33558
AF,Herāt,34.34817,62.19967
AF,Ḩājī Khēl,35.10922,69.43341
AF,Ḩāfiz̧ Moghul,37.05643,70.40061
AF,Ḩāfiz̧ān,34.28665,70.37247
AF,Guz̄arah,34.21223,62.21235
AF,Gōshtah,34.35822,70.76264
AF,Gōmal Kêlay,32.50989,68.85598
AF,‘Alāqahdārī Gēlān,32.72692,67.63696
AF,Ghōriyān,34.3448,61.49321
AF,Ghormach,35.73062,63.78264
AF,Ghurayd Gharamē,36.5222,70.79063
AF,Ghazni,33.55391,68.42096
AF,Gereshk,31.82089,64.57005
AF,Gardez,33.59744,69.22592
AF,Fayzabad,37.11664,70.58002
AF,Faīẕābād,36.82091,66.45921
AF,Fayẕābād,36.29111,64.86222
AF,Qal‘ah-ye Fārsī,33.78529,63.24735
AF,Farkhār,36.57288,69.85783
AF,Farah,32.37451,62.11638
AF,Istālif,34.83268,69.07756
AF,Eslam Qaleh,34.66667,61.06667
AF,Islām Chumgar,37.3011,66.46181
AF,Injīl,34.30157,62.2465
AF,Imām Şāḩib,37.18897,68.93644
AF,Dōshī,35.60918,68.68473
AF,Dowlatyār,34.55132,65.79302
AF,Dowlat Shāh,34.9504,70.07102
AF,Dowlatābād,36.98821,66.82069
AF,Dowlatābād,36.43259,64.92071
AF,Dū Qal‘ah,32.14237,61.4469
AF,Dūāb,35.56277,67.82191
AF,Dê Nārkhēl Kêlay,32.43205,65.63484
AF,Dehī,35.95806,67.27998
AF,Deh-e Şalāḩ,35.69031,69.31511
AF,Deh-e Now,34.74767,69.04784
AF,Dehdādī,36.66319,66.99339
AF,Dwah Manḏay,33.28159,69.58531
AF,Dasht-e Qal‘ah,37.1539,69.4435
AF,Dasht-e Qal‘ah,33.02978,63.8395
AF,Dasht-e Archī,37.13333,69.16667
AF,Darzāb,35.97744,65.37828
AF,Markaz-e Ḩukūmat-e Darwēshān,31.13231,64.1934
AF,Darqad,37.38414,69.45294
AF,Darāyim,36.86667,70.38333
AF,Dāngām,34.99249,71.41935
AF,Ḏanḏar,34.79095,69.47504
AF,Ḩukūmatī Dahanah-ye Ghōrī,35.90617,68.48869
AF,Tsowkêy,34.69246,70.92688
AF,Chīras,35.41674,65.98234
AF,Chīchkah,37.07045,69.29842
AF,Chisht-e Sharīf,34.34731,63.73966
AF,Chinār,32.01583,65.10721
AF,Chimtāl,36.67818,66.80325
AF,Charkh,33.79712,68.93749
AF,Charikar,35.01361,69.17139
AF,Dowr-e Rabāţ,36.69132,68.79093
AF,Tsapêraī,33.83003,69.9192
AF,Tsamkanī,33.80298,69.81671
AF,Chakaray,34.34099,69.4377
AF,Chākarān,36.91112,71.0688
AF,Chahār Qal‘ah,33.55267,68.29828
AF,Chahār Burj,34.24475,62.19165
AF,Chāh Āb,37.39773,69.81464
AF,Fayrōz Kōh,34.51952,65.25093
AF,Bulōlah,34.87706,68.0879
AF,Bal Chirāgh,35.84026,65.2309
AF,Bāzār-e Tālah,35.39205,68.22317
AF,Muhmand Dara,34.24749,70.87218
AF,Būrkah,36.22242,69.15037
AF,Barg-e Matāl,35.67283,71.34339
AF,Barakī,33.93949,68.92201
AF,Baraki Barak,33.96744,68.9492
AF,Banū,35.63348,69.26019
AF,Bāmyān,34.82156,67.82734
AF,Balkh,36.75635,66.8972
AF,Bahārak,37.00254,70.90664
AF,Bagrāmī,34.49376,69.27427
AF,Baghlān,36.13068,68.70829
AF,Ḩukūmatī Azrah,34.17355,69.64573
AF,Ārt Khwājah,37.08571,69.47958
AF,‘Alāqahdārī Aṯghar,31.73506,67.3574
AF,Āsmār,35.03333,71.35809
AF,Ashkāsham,36.68333,71.53333
AF,Asadābād,34.87311,71.14697
AF,Aqcha,36.905,66.18341
AF,Andkhoy,36.95293,65.12376
AF,’Unābah,35.23251,69.37719
AF,Anār Darah,32.7587,61.65397
AF,Amānzī,30.21144,66.04765
AF,‘Alāqahdārī-ye Almār,35.84616,64.53074
AF,‘Alī Shēr ‘Alāqahdārī,33.4362,70.06711
AF,Wuluswālī ‘Alīngār,34.83529,70.3593
AF,‘Alī Khēl,33.94253,69.71908
AF,‘Alāqahdārī Yōsuf Khēl,33.05195,68.65
AF,‘Alāqahdārī Dīshū,30.43206,63.29802
AF,Alah Sāy,34.8965,69.72049
AF,Pachīr wa Āgām,34.20011,70.27806
AF,Āfāqī,36.66172,69.35095
AF,Adraskan,33.64573,62.26959
AF,Āb-e Kamarī,35.08796,63.0678
AF,Khadīr,33.92232,65.93398
AF,Ghulām ‘Alī,34.95076,69.2287
AF,Qarah Bāgh Bāzār,34.8529,69.17062
AF,Zargarān,34.78764,69.05878
AF,Surkh Bilandī,34.68474,69.02863
AF,Pul-e Sangī,34.59972,69.25993
AF,Langar,35.99474,68.05081
AF,Bāgh-e Maīdān,35.22156,69.21397
AF,Ibrāhīm Khān,35.05352,69.25654
AF,Qaranghū Tōghaī,37.21528,67.63972
AF,Bāzārak,35.31292,69.51519
AF,Shērwānī-ye Bālā,35.01468,69.59934
AF,Kirāmān,35.2973,69.68125
AF,‘Alāqahdārī Saṟōbī,32.79331,69.0866
AF,Zīṟūk ‘Alāqahdārī,33.15806,69.31278
AF,Kushkak,32.28991,61.52194
AF,Khayr Kōṯ,32.85355,68.44971
AF,Chowṉêy,33.38278,66.27233
AF,Wuṯahpūr,34.91914,71.09863
AF,Karbōṟī,34.96597,71.2746
AF,Sulţānpūr-e ‘Ulyā,34.41204,70.29634
AF,Bābā Şāḩib,31.66144,65.66098
AF,Chandal Bā’ī,34.58469,68.95524
AF,Dahan-e Jarf,34.92891,68.46273
AF,Maydanshakhr,34.39561,68.86618
AF,Dū Laīnah,34.15599,64.78566
AF,Qaram Qōl,36.83006,65.04299
AF,Pul-e Ḩişār,35.61794,69.47134
AF,Lab-Sar,36.02634,66.83799
AF,Ţāqchah Khānah,36.61922,69.62805
AF,March,37.52845,70.4482
AF,Zīrakī,37.59233,70.55814
AF,‘Alīābād,36.52115,68.89985
AF,Pas Pul,37.47355,70.61617
AF,Qal‘ah-ye Na‘īm,34.39951,69.16705
AF,Markaz-e Woluswalī-ye Āchīn,34.12583,70.70778
AF,Māṉōgay,34.99015,70.91302
AF,Stêr Giyān,32.97704,69.37308
AF,Sharan,33.17568,68.73045
AF,Salām Khēl,33.67067,69.32983
AF,Mazad,31.54576,62.73484
AG,Willikies,17.08684,-61.7093
AG,Swetes,17.05037,-61.80091
AG,Saint John’s,17.12096,-61.84329
AG,Potters Village,17.11337,-61.81962
AG,Piggotts,17.11667,-61.8
AG,Parham,17.09682,-61.77046
AG,New Winthorpes,17.14575,-61.81344
AG,Liberta,17.04141,-61.79052
AG,Falmouth,17.02741,-61.78136
AG,Codrington,17.6394,-61.82437
AG,Bolands,17.06565,-61.87466
AG,All Saints,17.06671,-61.79303
AG,Sugar Factory,17.08837,-61.81752
AG,Jacks Hill,17.10929,-61.86328
AG,St. Paul Parish,17.0234,-61.76928
AG,Barbuda Parish,17.62403,-61.77651
AG,St. George Parish,17.11692,-61.79561
AG,St. Peter Parish,17.08487,-61.71223
AG,St. Mary Parish,17.07223,-61.87441
AG,St. Philip Parish,17.05426,-61.72716
AI,West End Village,18.17191,-63.14941
AI,The Valley,18.21704,-63.05783
AI,The Quarter,18.20799,-63.04178
AI,Farrington,18.215,-63.02238
AI,Stoney Ground,18.22026,-63.04607
AI,South Hill Village,18.19201,-63.08779
AI,Sandy Ground Village,18.20118,-63.08998
AI,North Side,18.22919,-63.04401
AI,North Hill Village,18.20542,-63.07847
AI,Island Harbour,18.25601,-63.0102
AI,George Hill,18.19939,-63.0665
AI,East End Village,18.23333,-63.0
AI,Blowing Point Village,18.17648,-63.09375
AI,Sandy Hill,18.22104,-63.01329
AL,Xarrë,39.72833,20.05444
AL,Sarandë,39.87534,20.00477
AL,Mesopotam,39.91028,20.09222
AL,Markat,39.73278,20.19528
AL,Livadhja,39.78917,20.12194
AL,Konispol,39.65889,20.18139
AL,Kakavijë,39.90778,20.35833
AL,Finiq,39.90639,20.05833
AL,Dhivër,39.83611,20.16861
AL,Delvinë,39.95111,20.09778
AL,Aliko,39.85861,20.07917
AL,Buçimas,40.89139,20.68139
AL,Zerqan,41.50222,20.36056
AL,Zavalinë,40.98083,20.28083
AL,Zapod,42.05056,20.5525
AL,Zall-Reç,41.87611,20.32
AL,Zall-Dardhë,41.80667,20.33611
AL,Xibër-Murrizë,41.45472,20.02556
AL,Vreshtas,40.79694,20.77694
AL,Voskopojë,40.63306,20.58889
AL,Voskop,40.61194,20.69028
AL,Vithkuq,40.525,20.5825
AL,Vithkuq,40.20472,20.25944
AL,Vërtop,40.62889,20.05389
AL,Vergo,40.00667,20.00889
AL,Vendresha e Vogël,40.50722,20.13472
AL,Velçan,40.95472,20.46222
AL,Ujmisht,41.90833,20.34694
AL,Udënisht,40.96333,20.63917
AL,Tunjë,40.83417,20.11194
AL,Tregan,41.02472,20.07833
AL,Trebisht-Muçinë,41.41111,20.53556
AL,Trebinjë,40.91333,20.55306
AL,Topojan,40.37722,20.21333
AL,Tomin,41.69083,20.42167
AL,Tepelenë,40.29583,20.01917
AL,Surroj,41.99222,20.34417
AL,Sult,40.88472,20.09944
AL,Sukë,40.37528,20.15472
AL,Suç,41.57694,20.05139
AL,Stravaj,41.00528,20.42306
AL,Steblevë,41.33722,20.47
AL,Sllovë,41.80111,20.40833
AL,Skore,40.10722,20.36639
AL,Skënderbegas,40.77611,20.24056
AL,Shushicë,41.0975,20.14833
AL,Shupenzë,41.53,20.42361
AL,Shtiqën,42.04056,20.43417
AL,Shishtavec,41.98,20.60583
AL,Shirgjan,41.05194,20.05333
AL,Shëngjin,41.92611,20.18833
AL,Shënmëri,42.10417,20.23833
AL,Selishtë,41.6275,20.27917
AL,Saraqinishtë,40.10528,20.22944
AL,Rukaj,41.68361,20.01917
AL,Rajcë,41.09028,20.57639
AL,Roshnik Qender,40.73278,20.03944
AL,Qukës-Skënderbe,41.08389,20.43806
AL,Qestorat,40.1175,20.19972
AL,Qereshnik,40.76333,20.00972
AL,Qafëmal,42.09333,20.09056
AL,Përrenjas-Fshat,41.06667,20.53528
AL,Përrenjas,41.07306,20.54889
AL,Proptisht,40.98611,20.5025
AL,Progër,40.69417,20.94028
AL,Potom,40.48833,20.37333
AL,Poroçan,40.94194,20.29861
AL,Polis-Gostimë,41.13333,20.25833
AL,Poliçan,40.61222,20.09806
AL,Pojan,40.72583,20.8375
AL,Pogradec,40.9025,20.6525
AL,Pishaj,40.88111,20.18278
AL,Pirg,40.785,20.70611
AL,Gjinkar,40.19944,20.40611
AL,Petran,40.20944,20.41833
AL,Peshkopi,41.685,20.42858
AL,Përmet,40.23361,20.35167
AL,Ostreni i Math,41.43083,20.45556
AL,Orosh,41.83333,20.08333
AL,Orenjë,41.28472,20.21194
AL,Odrie,40.13333,20.16667
AL,Novoselë,40.76139,20.69833
AL,Picar,40.16667,20.04833
AL,Mollas,40.92694,20.00361
AL,Mollas,40.42556,20.67444
AL,Mollaj,40.56028,20.74028
AL,Miras,40.50917,20.92833
AL,Melan,41.65417,20.46528
AL,Mborje,40.60333,20.80306
AL,Martanesh,41.4,20.2
AL,Maqellarë,41.58889,20.48306
AL,Maliq,40.70583,20.69972
AL,Macukull,41.68861,20.11028
AL,Lunik,41.28917,20.32361
AL,Llugaj,42.34139,20.10861
AL,Lis,41.6275,20.08528
AL,Liqenas,40.78667,20.90222
AL,Librazhd,41.17944,20.315
AL,Libonik,40.70444,20.70861
AL,Libohovë,40.03111,20.26306
AL,Leskovik,40.15139,20.59722
AL,Leshnjë,40.53694,20.31333
AL,Lenias,40.76667,20.39139
AL,Lekas,40.60222,20.5125
AL,Lazarat,40.04667,20.1475
AL,Labinot-Mal,41.20083,20.15222
AL,Labinot-Fushë,41.14056,20.14611
AL,Kushovë,40.78889,20.18889
AL,Kurbnesh,41.77972,20.08361
AL,Kukur,40.86778,20.36361
AL,Kukës,42.07694,20.42194
AL,Kthella e Epërme,41.81194,20.05889
AL,Krumë,42.19694,20.41333
AL,Krastë,41.42278,20.205
AL,Korçë,40.61861,20.78083
AL,Kolsh,42.07806,20.34194
AL,Kodovjat,40.80556,20.25111
AL,Klos,41.50694,20.08667
AL,Klos,40.94611,20.00972
AL,Këlcyrë,40.31306,20.18944
AL,Kastriot,41.72944,20.37722
AL,Kardhiq,40.12167,20.0275
AL,Kalis,41.83889,20.36667
AL,Iballë,42.1875,20.0025
AL,Hotolisht,41.15667,20.39722
AL,Hoçisht,40.60833,20.91417
AL,Gramsh,40.86972,20.18444
AL,Gostimë,41.14556,20.24
AL,Golaj,42.2475,20.38028
AL,Gjorica e Sipërme,41.53444,20.45
AL,Gjirokastër,40.07583,20.13889
AL,Gjinar,41.0225,20.18889
AL,Gjinaj,42.11806,20.43583
AL,Gjergjan,41.04306,20.02972
AL,Gjegjan,41.93778,20.01111
AL,Fushë-Muhurr,41.67972,20.33139
AL,Fushë-Lurë,41.80611,20.23194
AL,Fushë-Çidhnë,41.76056,20.34111
AL,Fushë-Bulqizë,41.52194,20.28222
AL,Fushë-Arrëz,42.06222,20.01667
AL,Frashër,40.36889,20.42444
AL,Fierzë,42.26056,20.01694
AL,Fajzë,42.16694,20.35083
AL,Ersekë,40.33778,20.67889
AL,Elbasan,41.11138,20.08224
AL,Drenovë,40.58333,20.79222
AL,Dishnicë,40.65139,20.81361
AL,Derjan,41.67361,20.05833
AL,Gjerbës,40.62917,20.25111
AL,Çorovodë,40.50417,20.22722
AL,Çlirim,40.4175,20.55028
AL,Cerava,40.85139,20.725
AL,Çepan,40.42056,20.26056
AL,Çarshovë,40.11806,20.54083
AL,Kokaj,41.87833,20.50472
AL,Buz,40.445,20.00472
AL,Bushtricë,41.87861,20.42194
AL,Burrel,41.61028,20.00889
AL,Bulqizë,41.49167,20.22194
AL,Bujan,42.32639,20.07639
AL,Bradashesh,41.105,20.0225
AL,Blinisht,41.86139,20.0
AL,Blerim,42.16056,20.19194
AL,Bilisht,40.6275,20.99
AL,Bicaj,41.99472,20.4125
AL,Dardhas,40.84583,20.65722
AL,Barmash,40.27778,20.61833
AL,Ballaban,40.41667,20.13444
AL,Arrën,41.91306,20.28833
AL,Arras,41.73583,20.32417
AL,Bytyç,42.31,20.20278
AL,Librazhd-Qendër,41.19694,20.33556
AL,Funarë,41.19639,20.05972
AL,Moglicë,40.71806,20.43806
AL,Bogovë,40.57111,20.15
AL,Piskovë,40.27917,20.2725
AL,Lukovë,39.99222,19.91389
AL,Ksamil,39.76889,19.99972
AL,Zharrëz,40.70917,19.64972
AL,Zejmen,41.70778,19.68917
AL,Zall-Herr,41.38944,19.8275
AL,Zall-Bastar,41.42972,19.93028
AL,Xhafzotaj,41.34444,19.5475
AL,Vukatanë,42.02806,19.54778
AL,Vrap,41.1475,19.7875
AL,Vranisht,40.20972,19.69083
AL,Vorë,41.39083,19.655
AL,Vlorë,40.4696,19.48379
AL,Velipojë,41.87833,19.40556
AL,Velabisht,40.70167,19.93222
AL,Vaqarr,41.29917,19.74417
AL,Uznovë,40.69722,19.98028
